"","Reported.Year","Property.ID..","Commercial.Property..Property.Street.Address","Building.Name","Total.SqFt","Category","Year.Built","kWh.sqft","Percentile.Rank","Received.Date","Site.EUI..kBTU.sqft.","Portfolio.Manager.SqFt","Total.Green.House.Gas.Emissions..MtCO2e.","Portfolio.Manager.Organization","GeoLocation","Submitted.Name.of.Organization","GeoLocation_clean","lat","long"
"1",2017,"187746","5126 E 5 ST, AUSTIN TX,","5126 E 5 ST, AUSTIN TX,",7419,"","1940",0,NA,"",NA,NA,NA,NA,"5126 E 5 ST
AUSTIN, TX
(30.251707, -97.697313)","Pantur, Inc.","30.251707, -97.697313",30.251707,-97.697313
"2",2017,"230740","2500 RIDGEPOINT DR, AUSTIN TX, 78728","2500 RIDGEPOINT DR, AUSTIN TX, 78728",49024,"INDUSTRIAL (W/sqft > 3)","1983",15.58,39.58,"",NA,NA,NA,NA,"2500 RIDGEPOINT DR
AUSTIN, TX 78728
(30.328069, -97.672401)","Equitable Commercial Realty","30.328069, -97.672401",30.328069,-97.672401
"3",2017,"729528","1700 S PLEASANT VALLEY RD, AUSTIN TX, 78741","1700 S PLEASANT VALLEY RD, AUSTIN TX, 78741",101953,"STORE\GROCERY (W/sqft > 5)","2009",32.063,76.26,"",NA,NA,NA,NA,"1700 S PLEASANT VALLEY RD
AUSTIN, TX 78741
(30.236494, -97.721013)","Mimco, Inc.","30.236494, -97.721013",30.236494,-97.721013
"5",2017,"526381","2011 W RUNDBERG LN Austin TX 78758","2011 W RUNDBERG LN Austin TX 78758",146142,"OFFICE LG > 35000","1999",8.049,4.79,"",NA,NA,NA,NA,"2011 W RUNDBERG LN
Austin, TX 78758
(30.373732, -97.719236)","AISD","30.373732, -97.719236",30.373732,-97.719236
"6",2017,"200001","202 W 17 ST, AUSTIN TX, 78701","202 W 17 ST, AUSTIN TX, 78701",15350,"OFFICE MED 10-35","1998",100.129,NA,"",NA,NA,NA,NA,"202 W 17 ST
AUSTIN, TX 78701
(30.279196, -97.740475)","Charter Communications","30.279196, -97.740475",30.279196,-97.740475
"7",2017,"230428","1101 WHEATLEY AVE, AUSTIN TX, 78752","1101 WHEATLEY AVE, AUSTIN TX, 78752",130107,"EDUCATIONAL FACILITY","2001",10.791,31.13,"",NA,NA,NA,NA,"1101 WHEATLEY AVE
AUSTIN, TX 78752
(30.333648, -97.693197)","AISD","30.333648, -97.693197",30.333648,-97.693197
"8",2017,"587738","8400 BRODIE LA, AUSTIN TX, 00000","8400 BRODIE LA, AUSTIN TX, 00000",9850,"","2005",20.66,NA,"",NA,NA,NA,NA,"8400 BRODIE LA
AUSTIN, TX 00000
(30.199823, -97.83946)","Labord","30.199823, -97.83946",30.199823,-97.83946
"9",2017,"255057","10201 MCKALLA PL, AUSTIN TX, 78758","10201 MCKALLA PL, AUSTIN TX, 78758",15960,"WAREHOUSE","1978",6.987,63.81,"",NA,NA,NA,NA,"10201 MCKALLA PL
AUSTIN, TX 78758
(30.383929, -97.719969)","Route Service Center","30.383929, -97.719969",30.383929,-97.719969
"11",2017,"547837","10321 BURNET RD, AUSTIN TX, 78758","10321 BURNET RD, AUSTIN TX, 78758",22570,"INDUSTRIAL","1999",8.186,40.63,"",NA,NA,NA,NA,"10321 BURNET RD
AUSTIN, TX 78758
(30.387013, -97.72322)","Thom Interests, LLC.","30.387013, -97.72322",30.387013,-97.72322
"12",2017,"273949","1215 WELLS BRANCH PKWY Austin TX 78660","1215 WELLS BRANCH PKWY Austin TX 78660",11880,"","",0,NA,"",NA,NA,NA,NA,"1215 WELLS BRANCH PKWY
Austin, TX 78660
(30.439117, -97.660723)","River City Partners","30.439117, -97.660723",30.439117,-97.660723
"13",2017,"350713","2510 PEBBLE BEACH DR, AUSTIN TX, 78747","2510 PEBBLE BEACH DR, AUSTIN TX, 78747",27864,"RECREATION","1973",30.915,70.83,"",NA,NA,NA,NA,"2510 PEBBLE BEACH DR
AUSTIN, TX 78747
(30.13716, -97.789446)","Onion Creek Club","30.13716, -97.789446",30.13716,-97.789446
"15",2017,"261313","12302 THOMPKINS DR, AUSTIN TX, 78753","12302 THOMPKINS DR, AUSTIN TX, 78753",40697,"RETAIL CENTER","1985",6.177,12.08,"",NA,NA,NA,NA,"12302 THOMPKINS DR
AUSTIN, TX 78753
(30.391445, -97.658664)","Ivyrock, LP","30.391445, -97.658664",30.391445,-97.658664
"16",2017,"749987","1000 E 11 ST, AUSTIN TX, 78702","1000 E 11 ST, AUSTIN TX, 78702",58312,"OFFICE LG > 35000","2004",15.035,23.97,"",NA,NA,NA,NA,"1000 E 11 ST
AUSTIN, TX 78702
(30.269495, -97.730039)","Austin Revitalization Authority","30.269495, -97.730039",30.269495,-97.730039
"17",2017,"195948, 416857","2209 ROSEWOOD AVE, AUSTIN TX, 78702","2209 ROSEWOOD AVE, AUSTIN TX, 78702",13814,"RECREATION","",14.825,37.5,"",NA,NA,NA,NA,"2209 ROSEWOOD AVE
AUSTIN, TX 78702
(30.27021, -97.7159)","Signature Flight Support","30.27021, -97.7159",30.27021,-97.7159
"18",2017,"548014, 548020","11525 STONEHOLLOW DR, AUSTIN TX, 78758","11525 STONEHOLLOW DR, AUSTIN TX, 78758",133960,"INDUSTRIAL","1996",13.393,89.79,"",NA,NA,NA,NA,"11525 STONEHOLLOW DR
AUSTIN, TX 78758
(30.395613, -97.708826)","HPI Real Estate","30.395613, -97.708826",30.395613,-97.708826
"19",2017,"203798","1905 NUECES ST, AUSTIN TX, 78705","1905 NUECES ST, AUSTIN TX, 78705",65536,"DORMITORY\RETIREMENT FACILITY","2008",13.954,32.1,"",NA,NA,NA,NA,"1905 NUECES ST
AUSTIN, TX 78705
(30.283035, -97.744138)","College Houses","30.283035, -97.744138",30.283035,-97.744138
"21",2017,"R532897","10124 Lake creek Pkwy, AUSTIN, TX  78729","10124 Lake creek Pkwy, AUSTIN, TX  78729",128990,"OFFICE LG > 35000","2015",9.887,NA,"",NA,NA,NA,NA,"10124 Lake creek Pkwy
AUSTIN, TX 78729
(30.463564, -97.789693)","AG Two Aspen, LLC","30.463564, -97.789693",30.463564,-97.789693
"22",2017,"106915","1200 W 10TH ST, AUSTIN TX, 78703","1200 W 10TH ST, AUSTIN TX, 78703",6560,"CITY OF AUSTIN",".",7.337,NA,"",NA,NA,NA,NA,"1200 W 10TH ST
AUSTIN, TX 78703
(30.276563, -97.755153)","Austin Energy","30.276563, -97.755153",30.276563,-97.755153
"24",2017,"217848","1010 W 40 ST, AUSTIN TX, 78756","1010 W 40 ST, AUSTIN TX, 78756",22988,"MEDICAL FACILITY","2008",25.369,52.83,"",NA,NA,NA,NA,"1010 W 40 ST
AUSTIN, TX 78756
(30.308159, -97.742085)","CTVS Realty, Ltd.","30.308159, -97.742085",30.308159,-97.742085
"25",2017,"R066553","12212 TECHNOLOGY BLVD, AUSTIN TX, 78727","12212 TECHNOLOGY BLVD, AUSTIN TX, 78727",43679,"OFFICE LG > 35000","1983",26.719,77.05,"",NA,NA,NA,NA,"12212 TECHNOLOGY BLVD
AUSTIN, TX 78727
(30.433813, -97.760061)","illumitex","30.433813, -97.760061",30.433813,-97.760061
"26",2017,"467334","2610 LAKE AUSTIN BLVD, AUSTIN TX, 78703","2610 LAKE AUSTIN BLVD, AUSTIN TX, 78703",10125,"STORE\GROCERY (W/sqft > 5)","1996",37.579,48.72,"04/05/2017 12:00:00 AM",NA,NA,NA,NA,"2610 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.281884, -97.77588)","CVS Pharmacy INC","30.281884, -97.77588",30.281884,-97.77588
"27",2017,"548258","11701 STONEHOLLOW DR, AUSTIN TX, 78758","11701 STONEHOLLOW DR, AUSTIN TX, 78758",73098,"INDUSTRIAL (W/sqft > 3)","1997",28.84,88.54,"",NA,NA,NA,NA,"11701 STONEHOLLOW DR
AUSTIN, TX 78758
(30.39783, -97.709977)","HPI Real Estate","30.39783, -97.709977",30.39783,-97.709977
"28",2017,"288170","1416 MONTOPOLIS DR, AUSTIN TX, 78741","1416 MONTOPOLIS DR, AUSTIN TX, 78741",3360,"CITY OF AUSTIN","1976",9.215,NA,"",NA,NA,NA,NA,"1416 MONTOPOLIS DR
AUSTIN, TX 78741
(30.228943, -97.70089)","Austin Energy","30.228943, -97.70089",30.228943,-97.70089
"30",2017,"206741","2315 NUECES ST AUSTIN TX 78705","2315 NUECES ST AUSTIN TX 78705",15104,"DORMITORY\RETIREMENT FACILITY","1960",19.89,NA,"",NA,NA,NA,NA,"2315 NUECES ST
AUSTIN, TX 78705
(30.287586, -97.743679)","SEKD House Corporation","30.287586, -97.743679",30.287586,-97.743679
"32",2017,"204464","2201 AIRPORT BLVD, AUSTIN TX, 78722","2201 AIRPORT BLVD, AUSTIN TX, 78722",27350,"AUTOMOTIVE SERVICE","1971",3.26,8.64,"",NA,NA,NA,NA,"2201 AIRPORT BLVD
AUSTIN, TX 78722
(30.285099, -97.705623)","GCR Tires & Service","30.285099, -97.705623",30.285099,-97.705623
"33",2017,"286583","1211 E OLTORF ST, AUSTIN TX, 78732","1211 E OLTORF ST, AUSTIN TX, 78732",280882,"EDUCATIONAL FACILITY","1953",15.791,82.78,"",NA,NA,NA,NA,"1211 E OLTORF ST
AUSTIN, TX 78732
(30.234768, -97.743904)","AISD","30.234768, -97.743904",30.234768,-97.743904
"34",2017,"199998","207 W 18 ST, AUSTIN TX, 78701","207 W 18 ST, AUSTIN TX, 78701",17926,"OFFICE MED 10-35","1955",10.606,45.91,"",NA,NA,NA,NA,"207 W 18 ST
AUSTIN, TX 78701
(30.280208, -97.740561)","Austin Scottish Rite Theater","30.280208, -97.740561",30.280208,-97.740561
"35",2017,"345420","3026 W SLAUGHTER LA, AUSTIN TX, 78748","08416-Austin/Slaughter & Westgate",79540,"MINI WAREHOUSE","1996",NA,NA,"05/05/2017 12:00:00 AM",3.3,74453,NA,NA,"3026 W SLAUGHTER LA
AUSTIN, TX 78748
(30.179572, -97.841532)","Public Storage","30.179572, -97.841532",30.179572,-97.841532
"37",2017,"583367","2631 S Capital of Texas Hwy Austin TX 78746","1639-Austin - Capital of Texas Hwy",113586,"MINI WAREHOUSE","2013",NA,NA,"05/22/2017 12:00:00 AM",NA,82215,NA,NA,"2631 S Capital of Texas Hwy
Austin, TX 78746
(30.260232, -97.814159)","Extra Space Storage","30.260232, -97.814159",30.260232,-97.814159
"38",2017,"194344","107 W 6TH ST, AUSTIN TX, 78701","107 W 6TH ST, AUSTIN TX, 78701",138442,"OFFICE LG > 35000","1910",18.015,37.25,"",NA,NA,NA,NA,"107 W 6TH ST
AUSTIN, TX 78701
(30.268155, -97.74316)","522 Congress LP","30.268155, -97.74316",30.268155,-97.74316
"39",2017,"107149","1604 W 5 ST, AUSTIN TX, 78703","1604 W 5 ST, AUSTIN TX, 78703",464,"","1987",0,NA,"",NA,NA,NA,NA,"1604 W 5 ST
AUSTIN, TX 78703
(30.274122, -97.763893)","MFB Real Estate Services LLC","30.274122, -97.763893",30.274122,-97.763893
"40",2017,"291455","2021 WOODWARD ST Austin TX 78741","2021 WOODWARD ST Austin TX 78741",132763,"INDUSTRIAL","2000",7.688,52.71,"",NA,NA,NA,NA,"2021 WOODWARD ST
Austin, TX 78741
(30.217491, -97.743907)","Live Oak","30.217491, -97.743907",30.217491,-97.743907
"41",2017,"236516","100 E ANDERSON LA, AUSTIN TX, 78752","100 E Anderson",17928,"BANKING","1975",NA,NA,"04/28/2017 12:00:00 AM",50,17928,NA,NA,"100 E ANDERSON LA
AUSTIN, TX 78752
(30.343848, -97.70474)","Blue Ocean Energy","30.343848, -97.70474",30.343848,-97.70474
"42",2017,"346140","1715 SLAUGHTER 4 LN AUSTIN TX 78748","1715 SLAUGHTER 4 LN AUSTIN TX 78748",15000,"","",0,NA,"",NA,NA,NA,NA,"1715 SLAUGHTER 4 LN
AUSTIN, TX 78748
(30.173698, -97.821099)","Stone Crest Investments","30.173698, -97.821099",30.173698,-97.821099
"44",2017,"547825","2404 RUTLAND DR, AUSTIN TX, 78758","2404 RUTLAND DR, AUSTIN TX, 78758",19272,"OFFICE MED 10-35","1970",12.373,62.28,"",NA,NA,NA,NA,"2404 RUTLAND DR
AUSTIN, TX 78758
(30.382515, -97.721351)","Ovivo USA, LLC","30.382515, -97.721351",30.382515,-97.721351
"45",2017,"250477","10205 N LAMAR BLVD, AUSTIN TX, 78753","10205 N LAMAR BLVD, AUSTIN TX, 78753",83788,"RETAIL CENTER","1985",16.211,37.53,"",NA,NA,NA,NA,"10205 N LAMAR BLVD
AUSTIN, TX 78753
(30.372212, -97.691866)","Radec Management","30.372212, -97.691866",30.372212,-97.691866
"46",2017,"258653","1501 Dessau Ridge Ln, Austin, TX 78754","1501 Dessau Ridge Ln, Austin, TX 78754",60652,"EDUCATIONAL FACILITY","2001",10.463,4.76,"",NA,NA,NA,NA,"1501 Dessau Ridge Ln
Austin, TX 78754
(30.401193, -97.643006)","Pflugerville Independent School District","30.401193, -97.643006",30.401193,-97.643006
"47",2017,"548012","11500 METRIC BLVD, AUSTIN TX, 78758","11500 METRIC BLVD, AUSTIN TX, 78758",96216,"INDUSTRIAL","1986",16.568,78.33,"",NA,NA,NA,NA,"11500 METRIC BLVD
AUSTIN, TX 78758
(30.39417, -97.707197)","Endeavor Real Estate Group","30.39417, -97.707197",30.39417,-97.707197
"48",2017,"251527","1905 GRAYBECKER DR, AUSTIN TX, 78758","1905 GRAYBECKER DR, AUSTIN TX, 78758",97200,"INDUSTRIAL","1996",7.865,48.75,"",NA,NA,NA,NA,"1905 GRAYBECKER DR
AUSTIN, TX 78758
(30.377034, -97.714302)","Live Oak Gottesman","30.377034, -97.714302",30.377034,-97.714302
"50",2017,"483297, 758870, 758871, 758872, 758873","1500 AIRPORT COMMERCE DR Austin TX 78741","1500 AIRPORT COMMERCE DR Austin TX 78741",292532,"INDUSTRIAL","2007",12.358,NA,"",NA,NA,NA,NA,"1500 AIRPORT COMMERCE DR
Austin, TX 78741
(30.222677, -97.68884)","HPI Real Estate Services","30.222677, -97.68884",30.222677,-97.68884
"51",2017,"462931","1421 WELLS BRANCH PKWY Austin TX 78660","1421 WELLS BRANCH PKWY Austin TX 78660",161730,"","",0,NA,"",NA,NA,NA,NA,"1421 WELLS BRANCH PKWY
Austin, TX 78660
(30.44057, -97.663126)","Stream Realty Partners","30.44057, -97.663126",30.44057,-97.663126
"54",2017,"307042","2407 S CONGRESS AVE, AUSTIN TX, 78704","2407 S Congress",17821,"RETAIL CENTER","1972",NA,NA,"05/24/2017 12:00:00 AM",NA,17640,NA,NA,"2407 S CONGRESS AVE
AUSTIN, TX 78704
(30.238636, -97.753721)","Blue Ocean Energy","30.238636, -97.753721",30.238636,-97.753721
"55",2017,"240428","8525 N LAMAR BLVD, AUSTIN TX, 78753","24316-Austin/8525 N. Lamar Blvd. II",62360,"MINI WAREHOUSE","1981",NA,NA,"05/15/2017 12:00:00 AM",2.4,62330,NA,NA,"8525 N LAMAR BLVD
AUSTIN, TX 78753
(30.353889, -97.704872)","Public Storage","30.353889, -97.704872",30.353889,-97.704872
"57",2017,"424186","11901 JOLLYVILLE RD Austin TX 78759","11901 JOLLYVILLE RD Austin TX 78759",10277,"OFFICE (SMALL)","1999",16.235,64.29,"",NA,NA,NA,NA,"11901 JOLLYVILLE RD
Austin, TX 78759
(30.424533, -97.757094)","Austin Eye Clinic Association","30.424533, -97.757094",30.424533,-97.757094
"58",2017,"362096","11205 Harris Branch Pkwy Austin TX 78754","11205 Harris Branch Pkwy Austin TX 78754",6850,"","",0,NA,"",NA,NA,NA,NA,"11205 Harris Branch Pkwy
Austin, TX 78754
(30.34706, -97.61374)","Austin Energy","30.34706, -97.61374",30.34706,-97.61374
"60",2017,"192867","200 TRINITY ST, AUSTIN TX, 78701","200 TRINITY ST, AUSTIN TX, 78701",25100,"RESTAURANT\BAR","1942",65.864,80.65,"",NA,NA,NA,NA,"200 TRINITY ST
AUSTIN, TX 78701
(30.263719, -97.740586)","Live Oak","30.263719, -97.740586",30.263719,-97.740586
"61",2017,"291456","2090 WOODWARD ST, AUSTIN TX, 78744","2090 Woodward Street",108255,"INDUSTRIAL","1979",NA,NA,"05/04/2017 12:00:00 AM",NA,101255,NA,NA,"2090 WOODWARD ST
AUSTIN, TX 78744
(30.214564, -97.744593)","Endeavor Real Estate Group","30.214564, -97.744593",30.214564,-97.744593
"62",2017,"811006","11675 JOLLYVILLE RD, AUSTIN TX, 78759","11675 JOLLYVILLE RD, AUSTIN TX, 78759",30037,"OFFICE MED 10-35","1985",15.808,NA,"",NA,NA,NA,NA,"11675 JOLLYVILLE RD
AUSTIN, TX 78759
(30.418584, -97.751485)","Egret Property Management","30.418584, -97.751485",30.418584,-97.751485
"65",2017,"R074971","12860 RESEARCH BLVD, AUSTIN, TX  78759","12860 RESEARCH BLVD, AUSTIN, TX  78759",50996,"STORE\GROCERY (W/sqft > 5)","1981",33.18,NA,"",NA,NA,NA,NA,"12860 RESEARCH BLVD
AUSTIN, TX 78759
(30.434879, -97.771746)","HEB Grocery CO","30.434879, -97.771746",30.434879,-97.771746
"66",2017,"196260","1135 Garland Avenue, Austin, TX 78721","1135 Garland Avenue, Austin, TX 78721",50373,"EDUCATIONAL FACILITY","1959",11.583,NA,"",NA,NA,NA,NA,"1135 Garland Avenue
Austin, TX 78721
(30.269917, -97.684962)","AISD","30.269917, -97.684962",30.269917,-97.684962
"67",2017,"R491642","12675 RESEARCH BLVD, AUSTIN, TX  78759","12675 RESEARCH BLVD, AUSTIN, TX  78759",32000,"CONGREGATION FACILITY","1972",4.902,33.33,"",NA,NA,NA,NA,"12675 RESEARCH BLVD
AUSTIN, TX 78759
(30.43246, -97.76506)","Mosaic Church Austin","30.43246, -97.76506",30.43246,-97.76506
"68",2017,"191861","1300 E 5TH ST, AUSTIN TX, 78702","1300 E 5TH ST, AUSTIN TX, 78702",30780,"INDUSTRIAL","1969",1.59,26.04,"",NA,NA,NA,NA,"1300 E 5TH ST
AUSTIN, TX 78702
(30.26299, -97.729361)","3423 Holdings, LLC","30.26299, -97.729361",30.26299,-97.729361
"69",2017,"107093","1717 W 6TH ST, AUSTIN TX, 78703","1717 W 6TH ST, AUSTIN TX, 78703",181212,"OFFICE LG > 35000","1985",19.14,59.25,"",NA,NA,NA,NA,"1717 W 6TH ST
AUSTIN, TX 78703
(30.276139, -97.764936)","AQUILA","30.276139, -97.764936",30.276139,-97.764936
"70",2017,"362429","12221 RENFERT WAY, AUSTIN TX, 78758","12221 RENFERT WAY, AUSTIN TX, 78758",70520,"MEDICAL FACILITY","2006",79.781,90.57,"",NA,NA,NA,NA,"12221 RENFERT WAY
AUSTIN, TX 78758
(30.411948, -97.704243)","HCFD","30.411948, -97.704243",30.411948,-97.704243
"71",2017,"203732","1906 PEARL ST, AUSTIN TX, 78705","1906 PEARL ST, AUSTIN TX, 78705",11340,"DORMITORY\RETIREMENT FACILITY","1969",7.141,16.05,"",NA,NA,NA,NA,"1906 PEARL ST
AUSTIN, TX 78705
(30.283799, -97.746664)","College Houses, Inc","30.283799, -97.746664",30.283799,-97.746664
"73",2017,"533240","120 SLAUGHTER LN Austin TX 78748","13444 - 13444-AUSTIN",14772,"STORE\GROCERY (W/sqft > 5)","2010",NA,NA,"04/04/2017 12:00:00 AM",83.2,14820,NA,NA,"120 SLAUGHTER LN
Austin, TX 78748
(30.167208, -97.788916)","Walgreen CO.","30.167208, -97.788916",30.167208,-97.788916
"75",2017,"460901","1905A KRAMER LA, AUSTIN TX, 78758","1905A KRAMER LA, AUSTIN TX, 78758",122136,"OFFICE LG > 35000","2001",0.629,4.11,"",NA,NA,NA,NA,"1905A KRAMER LA
AUSTIN, TX 78758
(30.388155, -97.709196)","Transwestern Property Management","30.388155, -97.709196",30.388155,-97.709196
"76",2017,"256624","11101 METRIC BLVD, AUSTIN TX, 78758","11101 METRIC BLVD, AUSTIN TX, 78758",56995,"INDUSTRIAL","1989",7.91,90,"",NA,NA,NA,NA,"11101 METRIC BLVD
AUSTIN, TX 78758
(30.390004, -97.709674)","Endeavor Real Estate Group","30.390004, -97.709674",30.390004,-97.709674
"77",2017,"442676","1610 DUNGAN LA, AUSTIN TX, 78754","1610 DUNGAN LA, AUSTIN TX, 78754",21250,"INDUSTRIAL (W/sqft > 3)","1999",19.909,21.25,"",NA,NA,NA,NA,"1610 DUNGAN LA
AUSTIN, TX 78754
(30.351061, -97.672522)","MARJ REAL ESTATE INVESTMENTS LLC","30.351061, -97.672522",30.351061,-97.672522
"78",2017,"696169","1115 E 12 ST, AUSTIN TX, 78702","1115 E 12 ST, AUSTIN TX, 78702",1032,"CITY OF AUSTIN","1927",10.114,NA,"",NA,NA,NA,NA,"1115 E 12 ST
AUSTIN, TX 78702
(30.272421, -97.728341)","Austin Energy","30.272421, -97.728341",30.272421,-97.728341
"80",2017,"710928","211 E RIVERSIDE DR Austin TX 78704","211 E RIVERSIDE DR Austin TX 78704",15344,"OFFICE MED 10-35","1986",0.587,1.42,"",NA,NA,NA,NA,"211 E RIVERSIDE DR
Austin, TX 78704
(30.254362, -97.744323)","McCoy- Rockford, Inc.","30.254362, -97.744323",30.254362,-97.744323
"81",2017,"309953","3400 S CONGRESS AVE, AUSTIN TX, 78704","3400 S CONGRESS AVE, AUSTIN TX, 78704",14481,"MOTEL\HOTEL (W/sqft > 3)","1939",17.19,79.58,"",NA,NA,NA,NA,"3400 S CONGRESS AVE
AUSTIN, TX 78704
(30.229453, -97.760356)","Bel Air Motel","30.229453, -97.760356",30.229453,-97.760356
"82",2017,"100321","1430 Collier St, Austin TX 78704","1430 Collier",22003,"OFFICE MED 10-35",".",NA,NA,"04/01/2017 12:00:00 AM",68.3,22003,NA,NA,"1430 Collier St
Austin, TX 78704
(30.252353, -97.766413)","Blue Ocean Energy","30.252353, -97.766413",30.252353,-97.766413
"84",2017,"232847","2431 FORBES DR, AUSTIN TX, 78754","2431 FORBES DR, AUSTIN TX, 78754",35177,"INDUSTRIAL (W/sqft > 3)","1991",23.641,85.63,"",NA,NA,NA,NA,"2431 FORBES DR
AUSTIN, TX 78754
(30.333373, -97.668644)","Aus-Tex Printing","30.333373, -97.668644",30.333373,-97.668644
"85",2017,"232787","1601 RUTHERFORD LA, AUSTIN TX, 78754","1601 RUTHERFORD LA, AUSTIN TX, 78754",57076,"INDUSTRIAL","1984",0.26,1.25,"",NA,NA,NA,NA,"1601 RUTHERFORD LA
AUSTIN, TX 78754
(30.336185, -97.681262)","Granite Properties of Texas","30.336185, -97.681262",30.336185,-97.681262
"86",2017,"214579","1111 W 34 ST Austin TX 78705","1111 W 34 ST Austin TX 78705",70185,"MEDICAL FACILITY","2001",46.542,84.91,"",NA,NA,NA,NA,"1111 W 34 ST
Austin, TX 78705
(30.303583, -97.746566)","SNH Medical Office Properties Trust","30.303583, -97.746566",30.303583,-97.746566
"88",2017,"502390","11209 METRIC BLVD, AUSTIN TX, 78758","11209 METRIC BLVD, AUSTIN TX, 78758",90374,"INDUSTRIAL","1985",9.136,54.79,"",NA,NA,NA,NA,"11209 METRIC BLVD
AUSTIN, TX 78758
(30.391454, -97.708754)","illumitex","30.391454, -97.708754",30.391454,-97.708754
"89",2017,"291779","2301 E BEN WHITE BLVD, AUSTIN TX, 78741","24315-Austin/2301 E. Ben White &IH-35",77958,"MINI WAREHOUSE","2005",NA,NA,"05/15/2017 12:00:00 AM",7.4,77838,NA,NA,"2301 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.215535, -97.739838)","Public Storage","30.215535, -97.739838",30.215535,-97.739838
"90",2017,"226748","201 E KOENIG LA, AUSTIN TX, 78751","201 E KOENIG LA, AUSTIN TX, 78751",26428,"INDUSTRIAL (W/sqft > 3)","1960",22.489,81.25,"",NA,NA,NA,NA,"201 E KOENIG LA
AUSTIN, TX 78751
(30.321173, -97.717118)","Texas Gas","30.321173, -97.717118",30.321173,-97.717118
"91",2017,"228937","108 W DENSON DR, AUSTIN TX, 78752","108 W DENSON DR, AUSTIN TX, 78752",83022,"INDUSTRIAL","1963",9.59,58.75,"",NA,NA,NA,NA,"108 W DENSON DR
AUSTIN, TX 78752
(30.327415, -97.71739)","WB Houston & Co","30.327415, -97.71739",30.327415,-97.71739
"92",2017,"369578","12327 N MO-PAC EXPRESSWAY Austin TX 78758","12327 N MO-PAC EXPRESSWAY Austin TX 78758",24485,"AUTOMOTIVE SERVICE","2001",12.648,NA,"",NA,NA,NA,NA,"12327 N MO-PAC EXPRESSWAY
Austin, TX 78758
(30.416968, -97.704933)","HR Austin Group LTD","30.416968, -97.704933",30.416968,-97.704933
"93",2017,"100290","1341 W MARY ST, AUSTIN TX, 78704","1341 W MARY ST, AUSTIN TX, 78704",22620,"MINI WAREHOUSE","1976",0.071,6.98,"",NA,NA,NA,NA,"1341 W MARY ST
AUSTIN, TX 78704
(30.249209, -97.767165)","MANIFOLD REAL ESTATE","30.249209, -97.767165",30.249209,-97.767165
"94",2017,"256604","2205 KRAMER LA, AUSTIN TX, 78758","2205 KRAMER LA, AUSTIN TX, 78758",51882,"INDUSTRIAL","1979",10.957,65.42,"",NA,NA,NA,NA,"2205 KRAMER LA
AUSTIN, TX 78758
(30.390108, -97.713265)","WBH LTD Partnership","30.390108, -97.713265",30.390108,-97.713265
"95",2017,"566969","211 E 7 ST, AUSTIN TX, 78701","211 E 7 ST, AUSTIN TX, 78701",174430,"OFFICE LG > 35000","1973",23.024,53.92,"",NA,NA,NA,NA,"211 E 7 ST
AUSTIN, TX 78701
(30.268452, -97.740578)","Highland Resources","30.268452, -97.740578",30.268452,-97.740578
"96",2017,"100317","1605 Kinney Ave Austin TX 78704","1605 Kinney Ave Austin TX 78704",1993,"CITY OF AUSTIN",".",21.647,NA,"",NA,NA,NA,NA,"1605 Kinney Ave
Austin, TX 78704
(30.253149, -97.767665)","Austin Energy","30.253149, -97.767665",30.253149,-97.767665
"97",2017,"863397, 505339","13301 MCCALLEN PASS, Austin, TX 78753","13301 MCCALLEN PASS, Austin, TX 78753",302603,"OFFICE LG > 35000","2000",9.509,88.01,"",NA,NA,NA,NA,"13301 MCCALLEN PASS
Austin, TX 78753
(30.41432, -97.663303)","General Motors","30.41432, -97.663303",30.41432,-97.663303
"98",2017,"R056732","13706 RESEARCH BLVD, AUSTIN, TX  78750","13706 RESEARCH BLVD, AUSTIN, TX  78750",39581,"OFFICE LG > 35000 (W/sqft > 5)","1984",12.952,NA,"",NA,NA,NA,NA,"13706 RESEARCH BLVD
AUSTIN, TX 78750
(30.457039, -97.792947)","hsu realty","30.457039, -97.792947",30.457039,-97.792947
"100",2017,"361686","1200 E ANDERSON LN Austin TX 78752","1200 E ANDERSON LN Austin TX 78752",86910,"OFFICE LG > 35000","1982",15.539,66.1,"",NA,NA,NA,NA,"1200 E ANDERSON LN
Austin, TX 78752
(30.334981, -97.690725)","Cetera","30.334981, -97.690725",30.334981,-97.690725
"101",2017,"218322","4513 AVENUE H , AUSTIN TX, 78751","4513 AVENUE H , AUSTIN TX, 78751",1756,"","1947",6.468,NA,"",NA,NA,NA,NA,"4513 AVENUE
AUSTIN, TX 78751
(30.31094, -97.73053)","Alori Properties","30.31094, -97.73053",30.31094,-97.73053
"102",2017,"206599","2400 PEARL ST, AUSTIN TX, 78705","2400 PEARL ST, AUSTIN TX, 78705",11336,"OFFICE MED 10-35","1960",13.51,44.48,"",NA,NA,NA,NA,"2400 PEARL ST
AUSTIN, TX 78705
(30.288398, -97.746737)","House of Tutors","30.288398, -97.746737",30.288398,-97.746737
